"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","71","76","6","58.190651","0","84"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","87","27","2","78.842926","0","383"
"/OpenXR/Devices/M_XRController.M_XRController","0","36","36","3","44.046417","0","39"
"Globals","0","3212","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","15","1","1","16.353901","0","49"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","3","1","5.630806","0","34"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","24","2","1","20.406250","0","206"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","3","1","7.793266","0","27"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","10","4","1","7.482804","0","28"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","1.735937","0","2"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","0","12","6","1","11.848376","0","35"
"/OculusVR/Materials/touchController_mat.touchController_mat","0","24","7","1","20.879988","0","77"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","2","2","1","1.725050","0","2"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","8","8","1","7.571344","0","14"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","4","4","1","9.964659","0","7"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","68","1","1","91.931351","0","355"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","94","16","1","127.717560","0","613"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","681","9","1","407.514740","0","28917"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","85","11","1","63.280354","0","625"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","147","10","1","132.032883","0","1308"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","2","2","1","1.765587","0","2"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","8","8","1","6.745770","0","8"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","74","10","1","69.293640","0","431"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","121","22","1","101.756935","0","1084"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","74","14","1","79.805672","0","451"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","74","2","1","71.226677","0","499"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","8","8","1","5.905103","0","12"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","24","24","1","20.016256","0","26"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","8","8","1","6.174523","0","8"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","1.574217","0","2"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","12","12","1","11.634696","0","19"
"/Engine/VREditor/TransformGizmo/Main.Main","0","8","8","1","6.054833","0","8"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","50","6","1","43.623497","0","152"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","52","9","1","222.925552","0","300"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","6","6","1","3.332579","0","6"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","19","19","1","8.690111","0","19"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","115","115","1","117.548820","0","115"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","1010","1038","1","667.835999","0","1038"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","34","10","1","34.748955","0","124"
"/Game/Materials/Master_WorldMaterial_Mat.Master_WorldMaterial_Mat","0","66","14","2","62.826355","0","210"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","4","4","1","1.958483","0","6"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","4","4","1","2.328268","0","4"
"/Game/FirstPersonBP/FirstPerson/Meshes/BaseMaterial.BaseMaterial","0","33","4","1","32.422981","0","103"
"/Game/FirstPersonBP/FirstPerson/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","0","72","1","1","50.585526","0","452"
"/Game/FirstPersonBP/FirstPerson/FPWeapon/Materials/M_FPGun.M_FPGun","0","72","10","1","50.751148","0","411"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","63","9","1","58.042057","0","321"
"/Game/Materials/LightIntens.LightIntens","0","19","10","1","10.548170","0","56"
"/Game/Materials/M_Texture_Atlas.M_Texture_Atlas","0","21","2","1","25.103052","0","53"
"/Game/Materials/M_Metal_Steel.M_Metal_Steel","0","21","10","1","25.276447","0","62"
"/Game/Materials/M_Classic_Cupboard.M_Classic_Cupboard","0","12","12","1","14.941959","0","14"
"/Game/Materials/M_Classic_Commode.M_Classic_Commode","0","21","3","1","24.853825","0","55"
"/Game/Materials/M_Opaque_MeshEmit_Emis_Master.M_Opaque_MeshEmit_Emis_Master","0","4","4","1","3.089923","0","4"
"/Game/Materials/Mirror.Mirror","0","21","3","1","25.450556","0","53"
"/Game/Materials/M_Decos_Door_Frame.M_Decos_Door_Frame","0","21","9","1","26.838541","0","53"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","19","8","1","11.613295","0","56"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","7","8","1","6.016440","0","10"
"/Game/Materials/M_Basic_Wall.M_Basic_Wall","0","21","10","1","26.118658","0","58"
"/Game/Materials/Master_BookVariety_Mat.Master_BookVariety_Mat","0","204","18","2","252.806870","0","1434"
"/Game/Materials/Master_Props_Mat.Master_Props_Mat","0","102","10","1","111.947342","0","720"
"/Game/Materials/M_Plains_Floors_Block.M_Plains_Floors_Block","0","21","10","1","24.809036","0","62"
"/Game/Materials/M_Plains_Pillars02.M_Plains_Pillars02","0","21","2","1","27.323124","0","54"
"/Game/Materials/M_Plains_Angel_Statue.M_Plains_Angel_Statue","0","21","10","1","27.288898","0","60"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","2.337569","0","2"
"/Game/Materials/M_Rock_Basalt.M_Rock_Basalt","0","21","6","1","29.033377","0","53"
"/Game/Materials/M_Metal_Chrome.M_Metal_Chrome","0","21","2","1","31.421732","0","53"
"/Game/Materials/M_Wood_Oak.M_Wood_Oak","0","21","10","1","35.167477","0","53"
"/Game/Materials/M_Concrete_Grime.M_Concrete_Grime","0","21","1","1","59.526562","0","53"
"/Game/Materials/M_Brick_Cut_Stone.M_Brick_Cut_Stone","0","21","2","1","48.937977","0","54"
"/Game/Materials/M_Brick_Clay_Old.M_Brick_Clay_Old","0","21","10","1","34.497082","0","80"
"/Game/Materials/Gem_New_Mat.Gem_New_Mat","0","44","7","1","292.901672","0","176"
"/Game/Materials/Gem_Mat.Gem_Mat","0","44","1","1","291.785431","0","242"
"/Game/Pictures/DocumentFirst_Mat.DocumentFirst_Mat","0","12","12","1","25.534241","0","15"
"/Game/Meshes/CubeMaterial.CubeMaterial","0","21","4","1","44.966446","0","56"
"/Game/Pictures/DocumentSecond_Mat.DocumentSecond_Mat","0","12","12","1","24.972113","0","18"
"/Game/Pictures/DocumentThird_Mat.DocumentThird_Mat","0","12","12","1","23.936983","0","20"
"/Game/Materials/M_Plains_FloorTrims.M_Plains_FloorTrims","0","21","9","1","37.009605","0","76"
"/Game/Meshes/M_smoke_subUV.M_smoke_subUV","0","84","2","1","135.146851","0","730"
"/Game/Meshes/M_Radial_Gradient.M_Radial_Gradient","0","32","5","1","31.673666","0","128"
"/Game/Meshes/M_Heat_Distortion.M_Heat_Distortion","0","36","10","1","35.538948","0","153"
"/Game/Meshes/M_Fire_SubUV.M_Fire_SubUV","0","24","5","1","32.144699","0","63"
"/Game/Materials/M_Military_Bed_Matress_with_Blanket.M_Military_Bed_Matress_with_Blanket","0","21","5","1","34.019211","0","57"
"/Game/Materials/M_Military_Bed_Grid.M_Military_Bed_Grid","0","40","4","1","236.781860","0","223"
"/Game/Materials/M_Military_Bed.M_Military_Bed","0","21","7","1","36.213543","0","59"
"/Game/Pictures/DocumentForth_Mat.DocumentForth_Mat","0","12","12","1","17.862667","0","21"
"/Game/Materials/M_Lamp.M_Lamp","0","21","10","1","34.650082","0","62"
"/Game/Materials/PlasterWall_a_c_Mat.PlasterWall_a_c_Mat","0","21","4","1","34.565990","0","53"
"/Game/Materials/M_Concrete_Tiles.M_Concrete_Tiles","0","21","10","1","36.175343","0","54"
"/Game/Textures/T_Metal_Steel_Mat.T_Metal_Steel_Mat","0","12","12","1","18.529224","0","16"
"/Game/Pictures/UnknownMaterial.UnknownMaterial","0","12","12","1","14.172387","0","22"
"/Game/Materials/M_Plains_StoneWall.M_Plains_StoneWall","0","21","10","1","32.450603","0","59"
"/Game/Materials/M_Plains_Pillars.M_Plains_Pillars","0","21","8","1","34.641193","0","60"
"/Game/Meshes/M_Spark.M_Spark","0","24","10","1","25.266680","0","82"
"/Game/Meshes/M_radial_ramp.M_radial_ramp","0","32","4","1","33.344612","0","102"
"/Game/Meshes/m_flare_01.m_flare_01","0","32","6","1","36.695454","0","102"
"/Game/Meshes/M_explosion_subUV.M_explosion_subUV","0","24","10","1","36.545647","0","62"
"/Game/Meshes/M_Dust_Particle.M_Dust_Particle","0","112","10","1","221.034851","0","794"
"/Game/Meshes/M_Burst.M_Burst","0","30","10","1","42.299988","0","102"
"/Game/Materials/M_Wood_Walnut.M_Wood_Walnut","0","21","10","1","38.546917","0","55"
"/Game/Materials/M_Wood_Pine.M_Wood_Pine","0","21","4","1","44.426956","0","56"
"/Game/Materials/M_Wood_Floor_Walnut_Worn.M_Wood_Floor_Walnut_Worn","0","21","3","1","38.626442","0","62"
"/Game/Materials/M_Wood_Floor_Walnut_Polished.M_Wood_Floor_Walnut_Polished","0","21","10","1","38.772682","0","58"
"/Game/Materials/M_Water_Ocean.M_Water_Ocean","0","21","7","1","43.408669","0","59"
"/Game/Materials/M_Water_Lake.M_Water_Lake","0","21","8","1","36.691212","0","60"
"/Game/Materials/M_Tech_Panel.M_Tech_Panel","0","21","9","1","24.116076","0","61"
"/Game/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","0","21","10","1","23.964529","0","53"
"/Game/Materials/M_Tech_Hex_Tile.M_Tech_Hex_Tile","0","21","8","1","28.638561","0","53"
"/Game/Materials/M_Tech_Checker_Dot.M_Tech_Checker_Dot","0","21","10","1","28.736422","0","62"
